ubigeo,mean_dist_km,median_dist_km,max_dist_km,n_ccpp,pct_beyond_10km,pct_beyond_25km
050201,2.567494674923833,2.714540035498752,5.587062292872332,80,0.0,0.0
050202,4.841166372568499,3.9700693063889414,12.837486861125887,95,0.14736842105263157,0.0
050203,2.4268093356837244,2.1730045489199097,6.361397612508998,141,0.0,0.0
050204,2.2315216337071546,2.0459967928783924,6.486228198111303,67,0.0,0.0
050205,6.496314702397776,6.22011746110482,14.03272773173882,303,0.23432343234323433,0.0
050206,2.593009952237443,2.5447862955136173,6.726916306966672,74,0.0,0.0
050301,19.219508249085873,22.231443462833276,32.028308947583746,237,0.7932489451476793,0.3333333333333333
050302,3.1476301501400883,2.7116401482489585,8.901371318453718,149,0.0,0.0
050303,9.8352591357712,9.629676873292201,19.97171335114787,188,0.48404255319148937,0.0
050304,10.898206417329018,11.552738377644676,24.97648298002777,206,0.5485436893203883,0.0
050401,2.355824991052913,1.7635994528430476,10.052287035526263,86,0.011627906976744186,0.0
050402,3.587829888437401,2.9564881735901443,10.964574855617908,48,0.041666666666666664,0.0
050403,1.8566171909020361,1.607865807705902,7.263562672019746,44,0.0,0.0
050404,2.4225241523209116,2.2763245687826195,8.31537691667573,34,0.0,0.0
050405,2.344780248541774,2.4289111072455953,5.171376012066952,77,0.0,0.0
050406,2.8362673315652054,2.7559858699168873,6.203493359181773,89,0.0,0.0
050407,4.439281173526535,3.2842015842621417,14.096841319869332,139,0.08633093525179857,0.0
050408,2.967288714790674,2.393735519749935,12.097142981002579,45,0.044444444444444446,0.0
050409,4.587342438273456,3.368088178003703,15.900247465870322,18,0.16666666666666666,0.0
050410,2.6419109817589845,2.7861150822756637,6.73447547275164,75,0.0,0.0
050411,6.6292898125742,4.576312647540698,21.958423794525384,50,0.24,0.0
050412,3.0908319210795883,2.7587166758362662,6.0371845688477626,26,0.0,0.0
050501,3.2207124621330805,3.1761102248365,8.504827810431454,112,0.0,0.0
050502,3.236596800140885,3.086876440511282,8.849528445575476,96,0.0,0.0
050503,3.6082272703481775,3.847551885992984,7.039416611426705,48,0.0,0.0
050504,3.4124314982656254,2.7688539523161073,8.10692695598039,47,0.0,0.0
050505,4.8765837896796365,5.072036377445549,9.44904814146303,73,0.0,0.0
050506,3.2450847605420576,2.342223678135197,8.002117710778613,47,0.0,0.0
050507,2.5209194614844623,2.0737848964780095,11.123761003202487,47,0.02127659574468085,0.0
050508,3.2110150465792717,3.1742820693681866,8.35970934609586,81,0.0,0.0
050509,5.336979035581763,5.407169486869917,13.777089607376784,30,0.13333333333333333,0.0
050510,5.898471608578604,6.4597937258889635,12.094499077980078,36,0.08333333333333333,0.0
050511,7.936320228005751,8.014430932311642,13.639730461717834,36,0.3055555555555556,0.0
050601,6.148089593995992,3.948350829250063,21.237045558836876,240,0.23333333333333334,0.0
050602,10.775891627042423,7.932214762614281,29.478373913354368,175,0.4514285714285714,0.07428571428571429
050603,8.466914122850268,8.984479040327182,17.351253965559547,65,0.4461538461538462,0.0
050604,7.984602811402856,6.039651456162461,19.714640923212453,63,0.3968253968253968,0.0
050605,6.1752206836829515,5.98780543437224,14.131827430466021,120,0.13333333333333333,0.0
050606,6.352073475113337,6.118826267050454,18.834004338941277,195,0.14358974358974358,0.0
050607,3.401982300679536,3.2276249538823576,9.287696388673474,140,0.0,0.0
050608,9.300423541098846,5.676412397868264,27.00829828653212,144,0.3402777777777778,0.06944444444444445
050609,8.652250318886704,7.248201129330426,22.481978511488297,116,0.4051724137931034,0.0
050610,6.602782031693898,7.079659119938464,16.63909515097383,76,0.25,0.0
050611,8.902285275054242,7.681115483727742,24.761250523798413,425,0.4023529411764706,0.0
050612,5.481697741343829,4.52802789653762,15.462595918380158,161,0.13043478260869565,0.0
050613,5.412003439026985,5.0394298978932905,17.308599142703613,147,0.07482993197278912,0.0
050614,6.861291093819522,6.424324468234884,15.778091623895556,102,0.18627450980392157,0.0
050615,5.188206081870049,3.6873865905871446,17.877417883943995,64,0.15625,0.0
050616,1.9580121662758831,1.7818582511116634,5.34299653389035,37,0.0,0.0
050617,7.365999171678127,6.387183786241178,20.468052964855406,131,0.2900763358778626,0.0
050618,14.96532447837914,16.980289214484745,29.376588168037678,271,0.6863468634686347,0.12177121771217712
050619,6.615056726997455,5.817629261045751,18.762426373175337,213,0.18779342723004694,0.0
050620,3.078100909382741,3.422350797865187,4.613078192832132,7,0.0,0.0
050621,6.850654886807551,5.345497959855795,20.589592199617588,68,0.20588235294117646,0.0
050701,5.087364137815726,4.302664913764314,17.135073437300644,378,0.11375661375661375,0.0
050702,2.930952828722198,2.014151258028352,12.116673152995727,71,0.014084507042253521,0.0
050703,8.967906506919267,8.53333169993087,15.802154341540112,65,0.35384615384615387,0.0
050704,4.010532616603612,2.75688533476878,12.064142105240206,59,0.0847457627118644,0.0
050705,9.525313379385532,7.243660552310413,24.546289923639435,212,0.33490566037735847,0.0
050706,4.213709830985478,4.294548120557089,8.996437161684492,85,0.0,0.0
050707,4.764786892954179,2.8954741959697277,11.899149468135237,56,0.14285714285714285,0.0
050708,4.0157566616811735,3.4783741994642146,12.990454087780272,147,0.05442176870748299,0.0
050801,2.9108720460781323,2.4394557755544217,7.595858401319998,33,0.0,0.0
050802,4.367097130024395,3.704652345867043,17.06762145248404,30,0.06666666666666667,0.0
050803,2.3763544184126384,1.8511222252229684,6.345648348575439,20,0.0,0.0
050804,3.117834337829402,2.081614903756403,10.604551190201033,43,0.023255813953488372,0.0
050805,2.551477635404775,2.1163315083642096,6.803848257969487,21,0.0,0.0
050806,8.913778018626063,7.806259755759045,21.825921427879017,104,0.4230769230769231,0.0
050807,2.848620836117354,2.550231578203243,5.418789833860726,10,0.0,0.0
050808,3.848581258312314,3.260433756753532,7.011226263140327,21,0.0,0.0
050809,1.7682267074478517,2.04447112481574,3.9653401031056723,13,0.0,0.0
050810,3.1222628274522535,3.1098953228205506,5.681488274089386,18,0.0,0.0
050901,3.7691215211270643,3.592778823546997,10.729965364984244,73,0.0136986301369863,0.0
050902,2.1857374804412872,2.6284008854968697,3.265107182940007,4,0.0,0.0
050903,2.279132999041714,2.4574205040148813,3.3068470470327296,20,0.0,0.0
050904,1.3949220017959831,1.4475380564296458,2.8542676409676653,15,0.0,0.0
050905,4.445089069668132,4.355422385715653,8.29228094869361,36,0.0,0.0
050906,3.5901036044735024,3.038950000408714,9.719111019920453,73,0.0,0.0
050907,2.6342868198427376,2.380540904923267,5.762438273633972,22,0.0,0.0
050908,8.328921649991553,9.085758205922234,15.137108636152899,50,0.38,0.0
050909,2.1141747748958513,1.891256132887738,7.419793894865414,46,0.0,0.0
050910,1.7786852592179923,1.5037789690315013,5.737629164462446,48,0.0,0.0
050911,7.368692765840723,7.849450215306472,14.498007575059983,81,0.25925925925925924,0.0
051001,4.81926134409676,4.411706151928119,15.848788394970128,122,0.12295081967213115,0.0
051002,2.323598310672932,2.3144189421858856,4.727827653974754,36,0.0,0.0
051003,5.946173298024248,6.005076151233397,10.144968887295303,29,0.034482758620689655,0.0
051004,1.9776826975278214,1.612251788159178,6.184479941767758,16,0.0,0.0
051005,6.748729731792934,6.013497952834079,16.601446609345793,166,0.27710843373493976,0.0
051006,2.9691421893714893,3.0058069477948695,4.79529643409175,31,0.0,0.0
051007,1.7121315469384413,1.3323362164804147,4.375423651192121,23,0.0,0.0
051008,1.7806837830353148,1.6741299783791779,3.9690383045780164,56,0.0,0.0
051009,5.4361378089714725,4.912348231937291,10.886543582628013,57,0.03508771929824561,0.0
051010,6.85944571383474,6.8273438108888005,13.612533986763294,98,0.24489795918367346,0.0
051011,6.395252899151212,6.585599024699035,13.741126013174359,74,0.20270270270270271,0.0
051012,4.963620546548925,3.9177996434979447,16.316193330749016,175,0.09714285714285714,0.0
051101,3.0139127631939497,2.9325506393328675,6.65835670240069,99,0.0,0.0
051102,1.7106175422739116,1.6111412587716951,3.358004790320407,28,0.0,0.0
051103,2.197596993785182,2.0557027412438105,4.092809781848145,27,0.0,0.0
051104,3.24144766269812,3.1230851923684644,6.159797352246246,76,0.0,0.0
051105,3.318361186290474,3.198628948630973,6.729610588507164,39,0.0,0.0
051106,4.234550713876724,4.0992441746803285,7.148556070100436,33,0.0,0.0
051107,3.044261714568991,3.498687386642324,4.487680900859918,15,0.0,0.0
051108,1.9279877281654147,1.6316818404877265,5.457027840550284,63,0.0,0.0
060101,1.4807505861200534,1.3200402060382537,8.34493758314756,200,0.0,0.0
060102,2.3597994961665716,2.2928531227678093,4.814199937909675,106,0.0,0.0
060103,2.339236954934422,2.252074741078485,5.38069251178347,40,0.0,0.0
060104,4.3835823657015585,4.677537113395227,9.482191826708975,104,0.0,0.0
060105,2.9640101531395895,2.8575324385587244,7.568121956425824,200,0.0,0.0
060106,2.67060118598743,2.8091520041547495,5.513657655109139,100,0.0,0.0
060107,2.2419778550988805,2.323752385973813,4.064771249233442,61,0.0,0.0
060108,2.128213464672663,2.1309291099878767,5.7665038321314555,118,0.0,0.0
060109,3.0491346012228138,2.8609341148943033,6.814223915802547,140,0.0,0.0
060110,1.9582876771345752,2.092892544025712,3.79201370727889,27,0.0,0.0
060111,2.3348137455970646,2.4092222272113784,4.341584731515228,58,0.0,0.0
060112,2.8151802616522907,3.2068489948792696,5.108598451823176,43,0.0,0.0
060201,2.556392820569395,2.3491579353101386,6.234328910349989,78,0.0,0.0
060202,3.549533890618341,3.3335043525106407,8.282055221641627,245,0.0,0.0
060203,2.3245668492452443,2.340359275235339,5.129231705995268,79,0.0,0.0
060204,3.724768796215649,3.1813541082778745,8.765256101866344,81,0.0,0.0
060301,3.8079456692080536,2.882848369723601,10.85423196967562,82,0.024390243902439025,0.0
060302,3.170724203322193,2.4936912728761693,6.064220359405921,25,0.0,0.0
060303,3.97271205566882,3.7469313822153705,9.16030169901852,70,0.0,0.0
060304,2.611143545864211,2.479420385050961,7.760742103544585,140,0.0,0.0
060305,3.344258513546857,2.9391544525816933,7.663437250053857,20,0.0,0.0
060306,1.8609390737969318,1.525873187785467,4.43704896527532,27,0.0,0.0
060307,2.3657655956887633,2.3295921670946096,6.4939146701643,28,0.0,0.0
060308,3.244088264461593,2.8114553990172726,8.691697485586014,78,0.0,0.0
060309,1.7480836810681024,1.5513626419671906,4.699490531203346,95,0.0,0.0
060310,2.796135794577958,2.6008458013608893,5.459192709307167,62,0.0,0.0
060311,3.1475635384649494,2.589006795742308,9.182984850671733,44,0.0,0.0
060312,3.069340262286894,3.2903541907726024,5.936405654158644,52,0.0,0.0
060401,0.9626105353527882,0.8988169352521014,3.5401336283060387,120,0.0,0.0
060402,1.6066810574624193,1.4701213239573954,4.01249259050881,28,0.0,0.0
060403,2.0788185557087306,1.5413022716005986,5.28177940382761,24,0.0,0.0
060404,0.9429165918829494,0.9211493164088402,1.9774467035224756,20,0.0,0.0
060405,2.911059422171278,2.5617840877292357,8.895729237733356,36,0.0,0.0
060406,2.478178939022496,2.1317476248916853,7.04187397071563,27,0.0,0.0
060407,1.5651121764894922,1.4427829866880162,3.6721814618723023,47,0.0,0.0
060408,1.3389939865193747,1.3295500190053628,3.189101011309131,45,0.0,0.0
060409,2.083076682820898,1.950020776866642,7.713215346834732,79,0.0,0.0
060410,0.9745014126688585,1.0400703639375954,2.32253569800203,49,0.0,0.0
060411,2.5903476303862187,2.263976477293581,6.930810839097261,112,0.0,0.0
060412,3.1390757940545133,2.6245106492742436,8.153491851863366,75,0.0,0.0
060413,1.1796507090352017,0.8322842133423923,3.3587899651657342,22,0.0,0.0
060414,1.6749559033106596,1.3122234404598814,6.328900816403638,16,0.0,0.0
060415,1.5302441284136827,1.493322098818991,3.8405693080292087,62,0.0,0.0
060416,2.64908932779541,2.8428853841474835,5.556608117921423,38,0.0,0.0
